Date,Name,locations,Founded,Employees,Skill,About,Link
2024-Feb-27,PhonePe - Fullstack Developer,"Gurgaon, Mumbai",Founded in 2015 , More than 1000 employees,"Python, Java, JavaScript, Ruby, Angular, Node.js, +2","PhonePe is a BHIM UPI enabled mobile payments app company which has build a platform for easy, safe and universal transfer of cash. Recently, PhonePe has developed a Point-Of-Sale system for stores in India.",https://www.instahyre.com/job-304766-fullstack-developer-at-phonepe-bangalore/
2024-Feb-27,Sign3 Labs - Data Scientist,,Founded in 2021 , 10 - 50 employees,"Python, Computer Vision, Data Mining, Machine Learning, NLP",Sign3 Labs is a user infrastructure platform that offers system security and fraud prevention mechanism to help businesses deal with security obstacles and identity verification across multiple platforms.,https://www.instahyre.com/job-304752-data-scientist-at-sign3-labs-gurgaon/
2024-Feb-27,Tranzact - SDE2,Noida,Founded in 2017 , 10 - 50 employees,"Python, Django, React.js","Tranzact is a cloud based peer-to-peer business network that facilitates business transactions. Product features include e-Invoicing, visibility on account receivables, visibility over the entire procurement.",https://www.instahyre.com/job-304819-sde2-at-tranzact-mumbai/
2024-Feb-27,Tranzact - Software Engineer 3,,Founded in 2017 , 10 - 50 employees,"Python, React.js","Tranzact is a cloud based peer-to-peer business network that facilitates business transactions. Product features include e-Invoicing, visibility on account receivables, visibility over the entire procurement.",https://www.instahyre.com/job-304844-software-engineer-3-at-tranzact-mumbai/
2024-Feb-27,Trestleiq - DevOps Engineer,Hyderabad,Founded in 2022 , 0 - 10 employees,"Python, AWS, CI - CD, Terraform, AWS CloudFormation","Trestle is a tech-led company that serves as a hub for establishing, growing, and sustaining client relationships by providing the identity data APIs needed to create, develop, and reinforce customer relationships.",https://www.instahyre.com/job-304799-devops-engineer-at-trestleiq-work-from-home/
2024-Feb-27,World Wide Technology - Data Scientist,,Founded in 1990 , More than 1000 employees,"Python, Machine Learning, Computer Vision, NLP, PySpark","World Wide Technology is a technology solution provider with more than $11 billion in annual revenue, having expertise in Integration & Staging, eCommerce Integration, Supply Chain Service, Systems Integration, etc.",https://www.instahyre.com/job-304827-data-scientist-at-world-wide-technology-gurgaon/
2024-Feb-27,56 Secure - Senior Data Scientist (Computer Vision),Bangalore,Founded in 2020 , 50 - 200 employees,"Python, Computer Vision, Machine Learning, CUDA, OpenCV, +2",56 Secure is an AI-powered automated security platform for homes and enterprises that offers real-time automated security and physical intervention as a subscription by leveraging algorithms and software platforms.,https://www.instahyre.com/job-304609-senior-data-scientist-computer-vision-at-56-secure-bangalore/
2024-Feb-27,Alteryx - SDET,,Founded in 1997 , More than 1000 employees,"Python, SDET, Automation Testing, Golang, JavaScript","Alteryx is an analytic process automation platform that unifies analytics, data science, and business process automation to deliver high-impact business outcomes and rapid upskilling of the modern workforce.",https://www.instahyre.com/job-304667-sdet-at-alteryx-bangalore/
2024-Feb-27,Booking Holdings - Software Engineer II,Bangalore,Founded in 1996 , More than 1000 employees,"Python, Golang, Java, Node.js, Django, Hibernate, J2EE, +1",Booking Holdings is a travel technology company that offers online travel and related services to consumers and local partners in 220+ countries through its six primary consumer-facing brands.,https://www.instahyre.com/job-304628-software-engineer-ii-at-booking-holdings-bangalore/
2024-Feb-27,Delhivery - Software Engineer,,Founded in 2011 , More than 1000 employees,"Python, Django, Flask","Delhivery is a fulfilment platform for digital commerce specializing in Omni-channel solutions, Order fulfilment solutions, Reverse Logistics, Payment collection, Express shipping, Logistics Technology, etc.",https://www.instahyre.com/job-304674-software-engineer-at-delhivery-gurgaon/
2024-Feb-27,Google - Senior Software Engineer,Bangalore,Founded in 1998 , More than 1000 employees,"Python, Big Data, C++, Golang, Java, Ruby, Scala, +6","Headquartered in Silicon Valley, Google's mission is to organize the worlds information and make it universally accessible and useful. It operates the world's leading online search engine among various other products and services.",https://www.instahyre.com/job-304698-senior-software-engineer-at-google-2-bangalore-hyderabad-pune/
2024-Feb-27,Google - Staff Software Engineer,,Founded in 1998 , More than 1000 employees,"Python, Big Data, C, C++, Golang, Java, Scala","Headquartered in Silicon Valley, Google's mission is to organize the worlds information and make it universally accessible and useful. It operates the world's leading online search engine among various other products and services.",https://www.instahyre.com/job-304711-staff-software-engineer-at-google-2-bangalore-hyderabad-pune/
2024-Feb-27,Google - Staff Software Engineer,Gurgaon,Founded in 1998 , More than 1000 employees,"Python, .NET, Big Data, C, C++, Golang, Java, Node.js, +2","Headquartered in Silicon Valley, Google's mission is to organize the worlds information and make it universally accessible and useful. It operates the world's leading online search engine among various other products and services.",https://www.instahyre.com/job-304706-staff-software-engineer-at-google-2-bangalore-hyderabad/
